POINT;NB PAS (H);TEMPS (s);<VVX)> ;<VVY)>;<VVZ)> 
75;75;0.75000000E-12;-0.47886461E+07;-0.39871461E+07;-0.41150720E+07
76;76;0.76000000E-12;-0.46940577E+07;-0.39412080E+07;-0.40240503E+07
77;77;0.77000000E-12;-0.46154484E+07;-0.39095986E+07;-0.39496613E+07
78;78;0.78000000E-12;-0.45510929E+07;-0.38901912E+07;-0.38900412E+07
79;79;0.79000000E-12;-0.44992743E+07;-0.38809273E+07;-0.38433589E+07
80;80;0.80000000E-12;-0.44583001E+07;-0.38798397E+07;-0.38078343E+07
81;81;0.81000000E-12;-0.44265156E+07;-0.38850706E+07;-0.37817534E+07
82;82;0.82000000E-12;-0.44023178E+07;-0.38948861E+07;-0.37634803E+07
83;83;0.83000000E-12;-0.43841673E+07;-0.39076863E+07;-0.37514665E+07
84;84;0.84000000E-12;-0.43706006E+07;-0.39220124E+07;-0.37442564E+07
85;85;0.85000000E-12;-0.43602404E+07;-0.39365507E+07;-0.37404911E+07
86;86;0.86000000E-12;-0.43518051E+07;-0.39501331E+07;-0.37389089E+07
87;87;0.87000000E-12;-0.43441162E+07;-0.39617351E+07;-0.37383450E+07
88;88;0.88000000E-12;-0.43361033E+07;-0.39704707E+07;-0.37377294E+07
89;89;0.89000000E-12;-0.43268079E+07;-0.39755851E+07;-0.37360850E+07
90;90;0.90000000E-12;-0.43153850E+07;-0.39764441E+07;-0.37325256E+07
91;91;0.91000000E-12;-0.43011031E+07;-0.39725232E+07;-0.37262553E+07
92;92;0.92000000E-12;-0.42833433E+07;-0.39633954E+07;-0.37165682E+07
93;93;0.93000000E-12;-0.42615972E+07;-0.39487207E+07;-0.37028513E+07
94;94;0.94000000E-12;-0.42354648E+07;-0.39282362E+07;-0.36845871E+07
95;95;0.95000000E-12;-0.42046524E+07;-0.39017494E+07;-0.36613586E+07
96;96;0.96000000E-12;-0.41689699E+07;-0.38691328E+07;-0.36328529E+07
97;97;0.97000000E-12;-0.41283274E+07;-0.38303205E+07;-0.35988648E+07
98;98;0.98000000E-12;-0.40827307E+07;-0.37853063E+07;-0.35592975E+07
99;99;0.99000000E-12;-0.40322754E+07;-0.37341425E+07;-0.35141624E+07
100;100;0.10000000E-11;-0.39771399E+07;-0.36769386E+07;-0.34635755E+07
101;101;0.10100000E-11;-0.39175768E+07;-0.36138602E+07;-0.34077525E+07
102;102;0.10200000E-11;-0.38539042E+07;-0.35451270E+07;-0.33470019E+07
103;103;0.10300000E-11;-0.37864956E+07;-0.34710101E+07;-0.32817173E+07
104;104;0.10400000E-11;-0.37157686E+07;-0.33918288E+07;-0.32123680E+07
105;105;0.10500000E-11;-0.36421744E+07;-0.33079473E+07;-0.31394887E+07
106;106;0.10600000E-11;-0.35661865E+07;-0.32197699E+07;-0.30636691E+07
107;107;0.10700000E-11;-0.34882896E+07;-0.31277365E+07;-0.29855415E+07
108;108;0.10800000E-11;-0.34089700E+07;-0.30323174E+07;-0.29057689E+07
109;109;0.10900000E-11;-0.33287056E+07;-0.29340061E+07;-0.28250326E+07
110;110;0.11000000E-11;-0.32479561E+07;-0.28333127E+07;-0.27440187E+07
111;111;0.11100000E-11;-0.31671537E+07;-0.27307558E+07;-0.26634050E+07
112;112;0.11200000E-11;-0.30866949E+07;-0.26268540E+07;-0.25838484E+07
113;113;0.11300000E-11;-0.30069323E+07;-0.25221182E+07;-0.25059713E+07
114;114;0.11400000E-11;-0.29281699E+07;-0.24170435E+07;-0.24303502E+07
115;115;0.11500000E-11;-0.28506595E+07;-0.23121020E+07;-0.23575043E+07
116;116;0.11600000E-11;-0.27745997E+07;-0.22077359E+07;-0.22878855E+07
117;117;0.11700000E-11;-0.27001365E+07;-0.21043518E+07;-0.22218703E+07
118;118;0.11800000E-11;-0.26273669E+07;-0.20023160E+07;-0.21597537E+07
119;119;0.11900000E-11;-0.25563417E+07;-0.19019508E+07;-0.21017453E+07
120;120;0.12000000E-11;-0.24870711E+07;-0.18035330E+07;-0.20479677E+07
121;121;0.12100000E-11;-0.24195292E+07;-0.17072935E+07;-0.19984566E+07
122;122;0.12200000E-11;-0.23536599E+07;-0.16134189E+07;-0.19531633E+07
123;123;0.12300000E-11;-0.22893830E+07;-0.15220537E+07;-0.19119579E+07
124;124;0.12400000E-11;-0.22266001E+07;-0.14333049E+07;-0.18746347E+07
125;125;0.12500000E-11;-0.21652015E+07;-0.13472464E+07;-0.18409181E+07
126;126;0.12600000E-11;-0.21050725E+07;-0.12639247E+07;-0.18104707E+07
127;127;0.12700000E-11;-0.20460992E+07;-0.11833650E+07;-0.17829014E+07
128;128;0.12800000E-11;-0.19881743E+07;-0.11055776E+07;-0.17577760E+07
129;129;0.12900000E-11;-0.19312018E+07;-0.10305638E+07;-0.17346278E+07
130;130;0.13000000E-11;-0.18751001E+07;-0.95832136E+06;-0.17129697E+07
131;131;0.13100000E-11;-0.18198043E+07;-0.88885032E+06;-0.16923062E+07
132;132;0.13200000E-11;-0.17652666E+07;-0.82215715E+06;-0.16721456E+07
133;133;0.13300000E-11;-0.17114557E+07;-0.75825927E+06;-0.16520110E+07
134;134;0.13400000E-11;-0.16583547E+07;-0.69718901E+06;-0.16314503E+07
135;135;0.13500000E-11;-0.16059592E+07;-0.63899671E+06;-0.16100456E+07
136;136;0.13600000E-11;-0.15542752E+07;-0.58375273E+06;-0.15874209E+07
137;137;0.13700000E-11;-0.15033179E+07;-0.53154767E+06;-0.15632487E+07
138;138;0.13800000E-11;-0.14531109E+07;-0.48249098E+06;-0.15372563E+07
139;139;0.13900000E-11;-0.14036861E+07;-0.43670788E+06;-0.15092294E+07
140;140;0.14000000E-11;-0.13550840E+07;-0.39433498E+06;-0.14790158E+07
141;141;0.14100000E-11;-0.13073545E+07;-0.35551465E+06;-0.14465264E+07
142;142;0.14200000E-11;-0.12605582E+07;-0.32038837E+06;-0.14117343E+07
143;143;0.14300000E-11;-0.12147673E+07;-0.28908924E+06;-0.13746726E+07
144;144;0.14400000E-11;-0.11700666E+07;-0.26173385E+06;-0.13354292E+07
145;145;0.14500000E-11;-0.11265543E+07;-0.23841391E+06;-0.12941408E+07
146;146;0.14600000E-11;-0.10843417E+07;-0.21918784E+06;-0.12509849E+07
147;147;0.14700000E-11;-0.10435516E+07;-0.20407308E+06;-0.12061711E+07
148;148;0.14800000E-11;-0.10043155E+07;-0.19303949E+06;-0.11599331E+07
149;149;0.14900000E-11;-0.96676868E+06;-0.18600457E+06;-0.11125197E+07
150;150;0.15000000E-11;-0.93104565E+06;-0.18283095E+06;-0.10641883E+07
151;151;0.15100000E-11;-0.89727401E+06;-0.18332652E+06;-0.10151982E+07
152;152;0.15200000E-11;-0.86556972E+06;-0.18724741E+06;-0.96580539E+06
153;153;0.15300000E-11;-0.83603306E+06;-0.19430357E+06;-0.91625910E+06
154;154;0.15400000E-11;-0.80874596E+06;-0.20416671E+06;-0.86679773E+06
155;155;0.15500000E-11;-0.78377025E+06;-0.21647985E+06;-0.81764582E+06
156;156;0.15600000E-11;-0.76114687E+06;-0.23086759E+06;-0.76901069E+06
157;157;0.15700000E-11;-0.74089519E+06;-0.24694656E+06;-0.72107905E+06
158;158;0.15800000E-11;-0.72301233E+06;-0.26433540E+06;-0.67401355E+06
159;159;0.15900000E-11;-0.70747195E+06;-0.28266385E+06;-0.62794944E+06
160;160;0.16000000E-11;-0.69422254E+06;-0.30158062E+06;-0.58299168E+06
161;161;0.16100000E-11;-0.68318551E+06;-0.32075948E+06;-0.53921303E+06
162;162;0.16200000E-11;-0.67425339E+06;-0.33990323E+06;-0.49665358E+06
163;163;0.16300000E-11;-0.66728877E+06;-0.35874533E+06;-0.45532195E+06
164;164;0.16400000E-11;-0.66212451E+06;-0.37704955E+06;-0.41519835E+06
165;165;0.16500000E-11;-0.65856506E+06;-0.39460829E+06;-0.37623942E+06
166;166;0.16600000E-11;-0.65638909E+06;-0.41124015E+06;-0.33838452E+06
167;167;0.16700000E-11;-0.65535304E+06;-0.42678748E+06;-0.30156293E+06
168;168;0.16800000E-11;-0.65519552E+06;-0.44111383E+06;-0.26570123E+06
169;169;0.16900000E-11;-0.65564250E+06;-0.45410172E+06;-0.23073033E+06
170;170;0.17000000E-11;-0.65641320E+06;-0.46565050E+06;-0.19659150E+06
171;171;0.17100000E-11;-0.65722674E+06;-0.47567453E+06;-0.16324104E+06
172;172;0.17200000E-11;-0.65780942E+06;-0.48410180E+06;-0.13065369E+06
173;173;0.17300000E-11;-0.65790245E+06;-0.49087312E+06;-0.98825031E+05
174;174;0.17400000E-11;-0.65726951E+06;-0.49594200E+06;-0.67773091E+05
175;175;0.17500000E-11;-0.65570365E+06;-0.49927500E+06;-0.37539027E+05
176;176;0.17600000E-11;-0.65303282E+06;-0.50085265E+06;-0.81867407E+04
177;177;0.17700000E-11;-0.64912406E+06;-0.50067087E+06;0.20198701E+05
178;178;0.17800000E-11;-0.64388603E+06;-0.49874274E+06;0.47513930E+05
179;179;0.17900000E-11;-0.63727018E+06;-0.49510040E+06;0.73641186E+05
180;180;0.18000000E-11;-0.62927060E+06;-0.48979676E+06;0.98452738E+05
