r/σ;g(r)
4.195;1.006
4.205;1.004
4.215;1.003
4.225;1.001
4.235;0.999
4.245;0.999
4.255;0.997
4.265;0.995
4.275;0.995
4.285;0.994
4.295;0.993
4.305;0.991
4.315;0.989
4.325;0.987
4.335;0.987
4.345;0.987
4.355;0.986
4.365;0.985
4.375;0.985
4.385;0.983
4.395;0.982
4.405;0.982
4.415;0.983
4.425;0.982
4.435;0.982
4.445;0.982
4.455;0.982
4.465;0.982
4.475;0.982
4.485;0.983
4.495;0.982
4.505;0.983
4.515;0.983
4.525;0.984
4.535;0.984
4.545;0.985
4.555;0.985
4.565;0.986
4.575;0.986
4.585;0.987
4.595;0.988
4.605;0.990
4.615;0.991
4.625;0.991
4.635;0.992
4.645;0.993
4.655;0.995
4.665;0.996
4.675;0.996
4.685;0.997
4.695;0.998
4.705;0.999
4.715;1.000
4.725;1.002
4.735;1.002
4.745;1.004
4.755;1.004
4.765;1.004
4.775;1.006
4.785;1.006
4.795;1.006
4.805;1.007
4.815;1.008
4.825;1.009
4.835;1.010
4.845;1.010
4.855;1.011
4.865;1.010
4.875;1.010
4.885;1.012
4.895;1.012
4.905;1.012
4.915;1.012
4.925;1.012
4.935;1.011
4.945;1.011
4.955;1.011
4.965;1.011
4.975;1.011
4.985;1.011
4.995;1.011
