r/σ;g(r)
4.195;0.025
4.205;0.002
4.215;0.000
4.225;0.000
4.235;0.000
4.245;0.000
4.255;0.000
4.265;0.000
4.275;0.008
4.285;0.113
4.295;0.909
4.305;3.943
4.315;9.209
4.325;11.630
4.335;7.947
4.345;2.950
4.355;0.596
4.365;0.066
4.375;0.004
4.385;0.000
4.395;0.000
4.405;0.000
4.415;0.000
4.425;0.000
4.435;0.000
4.445;0.000
4.455;0.000
4.465;0.000
4.475;0.000
4.485;0.000
4.495;0.000
4.505;0.000
4.515;0.000
4.525;0.000
4.535;0.000
4.545;0.000
4.555;0.000
4.565;0.000
4.575;0.000
4.585;0.000
4.595;0.004
4.605;0.058
4.615;0.475
4.625;2.111
4.635;5.094
4.645;6.704
4.655;4.809
4.665;1.883
4.675;0.404
4.685;0.048
4.695;0.003
4.705;0.000
4.715;0.000
4.725;0.000
4.735;0.000
4.745;0.000
4.755;0.007
4.765;0.068
4.775;0.363
4.785;1.030
4.795;1.570
4.805;1.292
4.815;0.574
4.825;0.138
4.835;0.018
4.845;0.001
4.855;0.000
4.865;0.000
4.875;0.000
4.885;0.000
4.895;0.003
4.905;0.050
4.915;0.415
4.925;1.866
4.935;4.516
4.945;5.933
4.955;4.233
4.965;1.645
4.975;0.349
4.985;0.040
4.995;0.003
